supplier_id,record_date,severity_level,category_of_violation,root_cause_category,corrective_actions_suggested,affected_product,process_involved,tone_of_letter,length_of_letter,deadline_for_resolution,resolution_status,follow_up_actions
S318,2023-09-24,Moderate,Regulatory,Equipment Malfunction,0,Product B,Shipping,Formal,720,14,Resolved,0
S319,2024-08-16,Moderate,Safety,Process Failure,1,Product D,Manufacturing,Formal,627,26,Unresolved,0
S319,2023-03-16,Critical,Quality,Process Failure,1,Product A,Testing,Urgent,156,5,Pending,1
S319,2023-11-13,Minor,Documentation,Equipment Malfunction,0,Product C,Manufacturing,Urgent,511,15,Pending,0
S319,2023-07-11,Moderate,Safety,Equipment Malfunction,0,Product B,Packaging,Warning,794,26,Pending,0
S319,2023-06-13,Moderate,Safety,Process Failure,0,Product C,Manufacturing,Urgent,320,9,Unresolved,1
S319,2023-11-14,Critical,Regulatory,Process Failure,1,Product B,Packaging,Urgent,432,8,Resolved,0
S319,2023-04-12,Critical,Quality,Human Error,0,Product A,Testing,Warning,965,3,Pending,0
S319,2024-01-23,Minor,Regulatory,Equipment Malfunction,1,Product B,Packaging,Warning,463,12,Pending,0
S319,2023-12-12,Minor,Documentation,Process Failure,1,Product A,Manufacturing,Formal,889,5,Resolved,0
S319,2024-04-15,Moderate,Safety,Process Failure,1,Product B,Manufacturing,Formal,353,12,Unresolved,0
S319,2023-08-31,Minor,Regulatory,Human Error,1,Product A,Manufacturing,Formal,587,14,Unresolved,0
S319,2023-02-19,Critical,Documentation,Equipment Malfunction,0,Product C,Shipping,Warning,932,22,Unresolved,1
S319,2024-02-01,Critical,Safety,Equipment Malfunction,1,Product C,Testing,Formal,347,16,Pending,1
S319,2023-05-30,Moderate,Quality,Human Error,1,Product C,Packaging,Warning,927,14,Unresolved,0
S319,2023-01-27,Minor,Regulatory,Human Error,1,Product C,Testing,Formal,883,1,Unresolved,0
S319,2023-05-21,Critical,Documentation,Equipment Malfunction,1,Product D,Manufacturing,Urgent,938,25,Pending,1
S319,2024-10-31,Moderate,Safety,Equipment Malfunction,0,Product C,Testing,Urgent,839,16,Pending,1
S319,2024-07-02,Moderate,Documentation,Process Failure,0,Product B,Shipping,Warning,760,11,Resolved,1
S319,2024-01-08,Moderate,Quality,Process Failure,1,Product D,Manufacturing,Urgent,669,7,Unresolved,0
S319,2024-07-06,Moderate,Documentation,Human Error,1,Product B,Packaging,Warning,880,19,Resolved,1
S319,2024-03-20,Critical,Quality,Equipment Malfunction,0,Product C,Shipping,Urgent,488,9,Resolved,0
S319,2024-09-19,Critical,Quality,Process Failure,0,Product A,Packaging,Warning,584,25,Unresolved,1
S319,2023-08-29,Moderate,Regulatory,Human Error,1,Product B,Shipping,Formal,520,25,Pending,1
S319,2024-08-29,Minor,Regulatory,Process Failure,1,Product D,Manufacturing,Urgent,104,5,Unresolved,0
S319,2024-05-02,Minor,Documentation,Process Failure,0,Product B,Shipping,Formal,703,24,Pending,1
S319,2023-07-24,Minor,Regulatory,Process Failure,1,Product A,Packaging,Urgent,144,3,Unresolved,1
S319,2024-08-30,Moderate,Quality,Equipment Malfunction,0,Product D,Packaging,Urgent,616,26,Resolved,0
S319,2023-03-20,Critical,Regulatory,Process Failure,0,Product A,Shipping,Warning,622,10,Unresolved,0
S319,2023-08-23,Minor,Documentation,Human Error,0,Product D,Shipping,Warning,551,23,Unresolved,1
S319,2024-12-29,Minor,Regulatory,Process Failure,0,Product C,Testing,Urgent,829,5,Unresolved,0
S319,2023-02-19,Minor,Documentation,Human Error,1,Product B,Manufacturing,Formal,826,4,Unresolved,0
S319,2024-11-09,Moderate,Regulatory,Human Error,1,Product A,Testing,Warning,508,3,Resolved,0
S320,2023-09-23,Moderate,Quality,Process Failure,0,Product B,Manufacturing,Warning,155,8,Unresolved,0
S320,2024-02-14,Minor,Quality,Human Error,1,Product C,Manufacturing,Urgent,870,11,Resolved,0
S320,2023-03-29,Moderate,Regulatory,Human Error,0,Product D,Testing,Formal,761,24,Unresolved,0
S320,2024-07-12,Moderate,Quality,Process Failure,1,Product B,Packaging,Warning,220,25,Unresolved,0
S320,2023-11-15,Minor,Safety,Human Error,0,Product C,Shipping,Urgent,397,11,Unresolved,1
S320,2024-01-13,Moderate,Regulatory,Human Error,1,Product A,Manufacturing,Formal,293,7,Pending,1
S320,2023-02-27,Moderate,Regulatory,Process Failure,0,Product B,Manufacturing,Warning,274,13,Resolved,1
S320,2024-12-15,Critical,Regulatory,Process Failure,1,Product C,Packaging,Warning,770,19,Pending,0
S320,2024-09-27,Moderate,Documentation,Process Failure,1,Product B,Testing,Formal,448,19,Pending,1
S320,2023-04-03,Moderate,Documentation,Human Error,0,Product A,Testing,Urgent,775,2,Unresolved,1
S320,2023-11-12,Critical,Documentation,Human Error,1,Product D,Testing,Formal,268,12,Pending,1
S320,2023-12-14,Minor,Regulatory,Human Error,1,Product B,Packaging,Urgent,323,5,Pending,0
S320,2023-02-26,Moderate,Regulatory,Human Error,0,Product D,Packaging,Warning,134,7,Pending,1
S320,2024-10-28,Moderate,Safety,Equipment Malfunction,1,Product C,Packaging,Urgent,281,11,Pending,0
S320,2024-02-17,Minor,Quality,Equipment Malfunction,0,Product D,Shipping,Warning,235,8,Unresolved,0
S320,2023-11-13,Critical,Quality,Human Error,0,Product B,Packaging,Formal,530,29,Pending,0
S320,2024-07-26,Critical,Regulatory,Process Failure,0,Product B,Packaging,Formal,292,1,Unresolved,1
S320,2023-02-02,Moderate,Safety,Process Failure,1,Product D,Manufacturing,Warning,945,22,Pending,0
S320,2024-10-17,Moderate,Quality,Human Error,1,Product A,Testing,Urgent,239,25,Resolved,1
S320,2024-07-29,Minor,Safety,Process Failure,1,Product D,Manufacturing,Formal,628,21,Unresolved,0
S320,2023-01-08,Moderate,Safety,Human Error,0,Product A,Shipping,Formal,160,27,Resolved,1
S320,2024-12-12,Moderate,Documentation,Human Error,1,Product D,Manufacturing,Urgent,540,13,Pending,1
S320,2024-12-24,Moderate,Safety,Process Failure,1,Product A,Packaging,Formal,128,13,Pending,1
S320,2023-09-15,Moderate,Documentation,Equipment Malfunction,1,Product D,Packaging,Warning,623,10,Resolved,1
S320,2024-12-24,Moderate,Quality,Process Failure,1,Product C,Manufacturing,Urgent,960,29,Pending,1
S320,2024-07-25,Moderate,Safety,Human Error,1,Product D,Shipping,Urgent,558,14,Unresolved,1
S320,2023-11-11,Moderate,Regulatory,Process Failure,0,Product C,Testing,Warning,828,1,Pending,0
S320,2024-10-18,Moderate,Safety,Process Failure,0,Product A,Manufacturing,Formal,196,8,Pending,1
S320,2024-11-09,Minor,Safety,Process Failure,0,Product A,Packaging,Urgent,915,17,Resolved,1
S320,2024-02-18,Critical,Documentation,Equipment Malfunction,0,Product C,Testing,Formal,636,21,Pending,1
S320,2024-02-24,Moderate,Safety,Equipment Malfunction,1,Product B,Shipping,Warning,959,6,Pending,1
S320,2023-02-20,Critical,Quality,Process Failure,1,Product D,Packaging,Urgent,373,16,Resolved,0
S320,2023-05-08,Critical,Regulatory,Equipment Malfunction,1,Product B,Manufacturing,Urgent,314,28,Unresolved,0
S320,2023-01-06,Minor,Documentation,Human Error,0,Product A,Packaging,Formal,909,29,Pending,1
S320,2024-09-18,Moderate,Documentation,Equipment Malfunction,0,Product B,Shipping,Urgent,663,2,Unresolved,1
S320,2024-12-14,Moderate,Quality,Equipment Malfunction,1,Product C,Testing,Urgent,450,3,Pending,1
S320,2023-11-09,Moderate,Safety,Process Failure,1,Product A,Shipping,Warning,317,29,Unresolved,1
S321,2024-10-07,Minor,Quality,Equipment Malfunction,1,Product C,Packaging,Warning,383,23,Resolved,1
S321,2024-12-30,Minor,Regulatory,Equipment Malfunction,1,Product A,Shipping,Formal,414,25,Pending,1
S321,2023-05-26,Critical,Quality,Process Failure,1,Product C,Testing,Urgent,128,19,Pending,1
S321,2024-09-13,Minor,Safety,Human Error,1,Product C,Shipping,Formal,933,27,Pending,1
S321,2023-08-07,Minor,Regulatory,Process Failure,0,Product C,Manufacturing,Formal,501,20,Resolved,0
S321,2024-02-22,Moderate,Safety,Process Failure,1,Product B,Testing,Formal,458,1,Pending,1
S321,2024-01-06,Critical,Quality,Process Failure,1,Product D,Packaging,Formal,396,16,Resolved,0
S321,2023-03-28,Minor,Documentation,Process Failure,0,Product B,Testing,Formal,358,7,Pending,0
S321,2024-04-06,Moderate,Regulatory,Human Error,0,Product B,Testing,Urgent,549,6,Resolved,0
S322,2024-09-26,Minor,Safety,Equipment Malfunction,0,Product D,Shipping,Urgent,283,9,Pending,1
S322,2024-08-30,Moderate,Safety,Human Error,0,Product D,Testing,Formal,941,9,Unresolved,1
S322,2024-08-27,Minor,Quality,Equipment Malfunction,0,Product C,Packaging,Warning,680,27,Unresolved,0
S322,2023-08-19,Critical,Regulatory,Equipment Malfunction,0,Product D,Shipping,Warning,944,9,Pending,0
S322,2024-07-23,Moderate,Safety,Process Failure,1,Product C,Manufacturing,Formal,711,8,Pending,0
S322,2024-01-14,Critical,Quality,Process Failure,1,Product A,Testing,Warning,173,19,Pending,1
S322,2024-04-06,Critical,Quality,Equipment Malfunction,0,Product B,Manufacturing,Urgent,429,5,Pending,0
S322,2024-05-12,Critical,Documentation,Equipment Malfunction,0,Product C,Testing,Urgent,599,27,Resolved,1
S322,2024-09-29,Moderate,Documentation,Process Failure,0,Product B,Testing,Warning,950,22,Unresolved,1
S322,2024-11-27,Critical,Safety,Equipment Malfunction,0,Product A,Shipping,Formal,373,26,Pending,0
S322,2023-06-28,Moderate,Documentation,Process Failure,1,Product B,Testing,Warning,788,24,Resolved,0
S322,2023-11-03,Critical,Documentation,Equipment Malfunction,1,Product D,Testing,Formal,838,4,Pending,1
S322,2024-07-29,Minor,Regulatory,Equipment Malfunction,1,Product C,Testing,Urgent,118,10,Pending,1
S322,2023-12-25,Moderate,Regulatory,Human Error,0,Product C,Packaging,Urgent,108,8,Unresolved,1
S322,2023-06-09,Minor,Documentation,Equipment Malfunction,1,Product C,Shipping,Warning,428,16,Resolved,1
S322,2023-01-18,Moderate,Quality,Human Error,1,Product A,Manufacturing,Urgent,164,8,Unresolved,1
S322,2023-06-15,Minor,Documentation,Process Failure,0,Product A,Shipping,Urgent,672,7,Resolved,0
S322,2023-04-28,Minor,Regulatory,Human Error,1,Product B,Packaging,Formal,448,3,Unresolved,1
S322,2023-09-08,Critical,Quality,Process Failure,0,Product A,Shipping,Warning,717,15,Unresolved,1
S322,2024-12-11,Minor,Documentation,Equipment Malfunction,0,Product A,Manufacturing,Formal,297,10,Resolved,0
S322,2023-09-08,Critical,Regulatory,Process Failure,1,Product D,Manufacturing,Warning,376,8,Unresolved,1
S322,2023-02-14,Minor,Quality,Human Error,1,Product B,Shipping,Urgent,954,25,Resolved,1
S322,2023-10-07,Moderate,Regulatory,Equipment Malfunction,1,Product B,Manufacturing,Urgent,608,20,Unresolved,1
S323,2023-05-27,Moderate,Quality,Equipment Malfunction,1,Product C,Manufacturing,Warning,111,10,Pending,0
S323,2024-05-14,Critical,Regulatory,Equipment Malfunction,0,Product B,Shipping,Formal,249,9,Unresolved,0
S323,2024-02-07,Critical,Regulatory,Equipment Malfunction,1,Product A,Shipping,Warning,462,6,Resolved,0
S323,2023-02-05,Minor,Documentation,Equipment Malfunction,1,Product A,Packaging,Urgent,819,1,Unresolved,1
S323,2024-07-17,Minor,Regulatory,Process Failure,0,Product C,Testing,Urgent,265,24,Pending,1
S323,2024-11-10,Minor,Safety,Process Failure,1,Product C,Manufacturing,Formal,552,24,Unresolved,1
S323,2023-03-19,Moderate,Safety,Equipment Malfunction,0,Product A,Testing,Urgent,798,16,Unresolved,0
S323,2023-11-29,Critical,Documentation,Equipment Malfunction,0,Product C,Manufacturing,Formal,505,5,Resolved,0
S324,2023-06-09,Critical,Documentation,Process Failure,1,Product C,Manufacturing,Urgent,148,6,Unresolved,0
S324,2024-07-03,Critical,Quality,Process Failure,0,Product A,Manufacturing,Formal,954,17,Pending,1
S324,2023-04-26,Moderate,Regulatory,Human Error,1,Product D,Packaging,Urgent,553,1,Resolved,1
S324,2023-04-19,Moderate,Safety,Process Failure,1,Product B,Manufacturing,Warning,459,29,Resolved,1
S324,2024-12-10,Critical,Safety,Human Error,1,Product A,Testing,Formal,364,27,Resolved,0
S324,2024-04-13,Minor,Quality,Process Failure,0,Product D,Packaging,Warning,902,29,Resolved,0
S324,2024-07-05,Critical,Regulatory,Equipment Malfunction,1,Product A,Shipping,Warning,152,12,Resolved,0
S324,2023-04-08,Critical,Quality,Equipment Malfunction,1,Product A,Manufacturing,Formal,211,15,Resolved,0
S324,2023-09-18,Minor,Quality,Equipment Malfunction,1,Product B,Packaging,Warning,880,23,Pending,0
S324,2024-01-31,Moderate,Regulatory,Human Error,1,Product A,Packaging,Warning,727,27,Resolved,1
S324,2024-08-14,Critical,Regulatory,Equipment Malfunction,0,Product B,Shipping,Formal,712,11,Pending,1
S324,2024-12-07,Critical,Documentation,Equipment Malfunction,1,Product D,Shipping,Warning,802,11,Unresolved,0
S324,2024-08-14,Minor,Regulatory,Process Failure,1,Product B,Manufacturing,Formal,444,15,Pending,1
S324,2023-11-21,Critical,Documentation,Human Error,0,Product A,Packaging,Urgent,279,2,Unresolved,0
S324,2023-10-12,Critical,Quality,Human Error,0,Product B,Testing,Warning,778,26,Pending,1
S324,2023-04-03,Minor,Safety,Equipment Malfunction,0,Product D,Packaging,Urgent,587,27,Unresolved,0
S324,2023-01-04,Critical,Quality,Process Failure,0,Product B,Testing,Urgent,874,3,Unresolved,1
S324,2024-05-21,Minor,Safety,Process Failure,0,Product C,Testing,Formal,525,4,Pending,1
S324,2024-08-31,Moderate,Documentation,Equipment Malfunction,1,Product A,Manufacturing,Formal,895,2,Resolved,1
S324,2023-01-12,Critical,Regulatory,Process Failure,1,Product C,Shipping,Urgent,622,13,Pending,0
S324,2024-01-20,Moderate,Documentation,Human Error,1,Product B,Manufacturing,Urgent,312,19,Unresolved,1
S324,2023-11-19,Moderate,Quality,Equipment Malfunction,1,Product A,Packaging,Formal,610,19,Unresolved,0
S324,2024-11-17,Minor,Quality,Process Failure,0,Product B,Shipping,Warning,686,8,Pending,1
S324,2023-08-05,Minor,Regulatory,Process Failure,0,Product C,Shipping,Urgent,333,16,Pending,1
S324,2023-08-25,Minor,Safety,Process Failure,1,Product B,Packaging,Urgent,973,3,Pending,0
S324,2023-02-24,Moderate,Safety,Human Error,0,Product A,Manufacturing,Formal,918,21,Resolved,1
S324,2023-09-24,Critical,Documentation,Equipment Malfunction,0,Product A,Manufacturing,Warning,818,4,Unresolved,1
S324,2024-01-18,Critical,Documentation,Human Error,0,Product C,Manufacturing,Warning,289,8,Unresolved,0
S324,2023-03-24,Moderate,Safety,Human Error,1,Product C,Packaging,Formal,769,9,Resolved,0
S324,2024-04-02,Critical,Documentation,Equipment Malfunction,1,Product D,Packaging,Warning,213,17,Pending,0
S324,2023-05-13,Moderate,Documentation,Human Error,1,Product B,Packaging,Warning,347,3,Unresolved,0
S324,2024-06-19,Moderate,Regulatory,Process Failure,1,Product A,Shipping,Warning,671,27,Pending,0
S324,2023-02-10,Critical,Quality,Equipment Malfunction,1,Product D,Shipping,Urgent,893,10,Unresolved,0
S324,2023-05-23,Critical,Documentation,Human Error,0,Product B,Packaging,Formal,885,9,Unresolved,1
S324,2024-02-25,Moderate,Regulatory,Human Error,0,Product D,Packaging,Urgent,351,22,Resolved,1
S324,2024-02-10,Moderate,Quality,Process Failure,0,Product D,Shipping,Formal,456,16,Resolved,0
S324,2024-02-18,Moderate,Regulatory,Human Error,0,Product A,Manufacturing,Warning,813,12,Pending,1
S324,2024-01-19,Minor,Documentation,Equipment Malfunction,1,Product C,Shipping,Formal,403,21,Unresolved,1
S324,2023-12-07,Critical,Safety,Human Error,1,Product B,Testing,Urgent,564,6,Resolved,1
S325,2024-08-09,Moderate,Safety,Equipment Malfunction,1,Product B,Testing,Warning,901,5,Resolved,0
S325,2024-09-19,Moderate,Documentation,Equipment Malfunction,1,Product A,Manufacturing,Formal,769,18,Resolved,1
S325,2023-10-16,Critical,Regulatory,Process Failure,0,Product C,Manufacturing,Urgent,640,20,Pending,1
S325,2023-10-03,Moderate,Quality,Human Error,0,Product A,Manufacturing,Warning,797,14,Resolved,0
S325,2024-04-26,Minor,Quality,Process Failure,1,Product C,Manufacturing,Urgent,111,1,Resolved,1
S325,2024-02-14,Critical,Quality,Process Failure,1,Product C,Shipping,Urgent,165,16,Resolved,0
S325,2024-08-29,Moderate,Quality,Process Failure,1,Product C,Testing,Formal,327,17,Resolved,1
S325,2023-01-29,Minor,Documentation,Equipment Malfunction,1,Product B,Shipping,Warning,725,18,Pending,0
S325,2024-02-12,Minor,Documentation,Human Error,1,Product A,Testing,Formal,217,5,Unresolved,1
S325,2024-08-21,Minor,Regulatory,Equipment Malfunction,0,Product B,Shipping,Formal,151,18,Resolved,1
S325,2024-07-30,Minor,Quality,Process Failure,1,Product D,Testing,Warning,126,13,Pending,0
S325,2024-11-29,Critical,Quality,Equipment Malfunction,1,Product B,Testing,Formal,180,19,Unresolved,1
S325,2024-04-14,Minor,Safety,Process Failure,1,Product C,Testing,Formal,923,15,Pending,0
S325,2024-08-06,Critical,Quality,Equipment Malfunction,1,Product D,Packaging,Urgent,637,8,Resolved,1
S325,2023-10-16,Critical,Safety,Human Error,1,Product C,Manufacturing,Formal,242,9,Resolved,1
S325,2023-05-19,Minor,Safety,Human Error,0,Product A,Testing,Warning,725,5,Unresolved,1
S325,2024-01-28,Minor,Regulatory,Process Failure,0,Product C,Shipping,Warning,894,6,Unresolved,1
S325,2024-05-03,Minor,Documentation,Process Failure,1,Product D,Testing,Urgent,492,16,Unresolved,1
S325,2024-09-28,Moderate,Quality,Process Failure,1,Product A,Manufacturing,Warning,690,19,Unresolved,1
S325,2023-03-13,Moderate,Regulatory,Equipment Malfunction,1,Product A,Packaging,Formal,886,5,Pending,0
S325,2024-11-07,Moderate,Safety,Equipment Malfunction,0,Product C,Testing,Warning,384,21,Resolved,1
S326,2023-09-10,Critical,Safety,Process Failure,1,Product B,Manufacturing,Urgent,834,14,Resolved,1
S326,2023-09-02,Minor,Regulatory,Human Error,1,Product D,Manufacturing,Warning,569,6,Unresolved,0
S326,2024-01-04,Minor,Safety,Process Failure,1,Product B,Shipping,Warning,480,13,Unresolved,1
S326,2024-03-28,Minor,Regulatory,Human Error,0,Product B,Manufacturing,Warning,811,18,Pending,0
S326,2023-10-11,Moderate,Documentation,Process Failure,1,Product A,Testing,Warning,178,18,Resolved,0
S326,2023-08-18,Minor,Regulatory,Process Failure,1,Product A,Packaging,Urgent,338,23,Resolved,0
S326,2023-12-14,Critical,Documentation,Process Failure,0,Product B,Testing,Warning,517,5,Resolved,0
S326,2023-12-18,Moderate,Quality,Human Error,1,Product D,Shipping,Warning,628,22,Pending,1
S326,2024-03-11,Minor,Quality,Human Error,0,Product D,Manufacturing,Urgent,222,2,Unresolved,1
S326,2023-09-22,Minor,Documentation,Equipment Malfunction,0,Product B,Shipping,Urgent,464,13,Resolved,1
S326,2024-07-24,Critical,Safety,Process Failure,0,Product C,Shipping,Warning,637,26,Resolved,1
S326,2023-02-12,Minor,Documentation,Process Failure,1,Product C,Shipping,Urgent,563,13,Pending,0
S326,2023-03-01,Moderate,Safety,Equipment Malfunction,1,Product A,Shipping,Warning,208,2,Resolved,0
S326,2023-10-08,Minor,Quality,Human Error,0,Product D,Testing,Warning,737,23,Unresolved,0
S326,2024-05-08,Critical,Regulatory,Human Error,1,Product C,Manufacturing,Warning,329,27,Unresolved,0
S326,2023-11-09,Minor,Safety,Process Failure,1,Product A,Manufacturing,Urgent,808,29,Pending,1
S326,2024-04-21,Minor,Safety,Human Error,1,Product D,Packaging,Formal,941,25,Resolved,0
S326,2023-07-04,Critical,Safety,Equipment Malfunction,1,Product D,Shipping,Urgent,913,2,Resolved,1
S326,2024-07-09,Minor,Quality,Human Error,1,Product D,Testing,Formal,618,24,Pending,1
S326,2023-06-14,Moderate,Safety,Human Error,1,Product B,Manufacturing,Formal,739,11,Pending,1
S326,2023-02-05,Minor,Regulatory,Equipment Malfunction,1,Product D,Manufacturing,Urgent,446,10,Pending,0
S326,2023-03-23,Minor,Quality,Human Error,1,Product B,Testing,Urgent,803,2,Unresolved,1
S326,2024-12-05,Critical,Safety,Equipment Malfunction,1,Product B,Shipping,Formal,971,18,Resolved,1
S326,2024-01-11,Moderate,Safety,Human Error,0,Product B,Manufacturing,Urgent,346,24,Resolved,0
S326,2023-08-20,Moderate,Safety,Human Error,1,Product D,Testing,Urgent,939,6,Pending,1
S326,2023-09-16,Moderate,Documentation,Human Error,0,Product B,Testing,Formal,697,25,Resolved,1
S326,2024-08-01,Minor,Quality,Human Error,0,Product D,Manufacturing,Formal,416,8,Pending,0
S326,2023-04-16,Minor,Regulatory,Equipment Malfunction,1,Product C,Packaging,Warning,255,21,Resolved,0
S326,2024-06-26,Minor,Safety,Process Failure,1,Product A,Packaging,Formal,826,7,Pending,0
S326,2024-08-12,Minor,Regulatory,Human Error,1,Product B,Manufacturing,Urgent,265,20,Resolved,0
S326,2024-11-29,Minor,Documentation,Equipment Malfunction,0,Product D,Packaging,Urgent,108,4,Unresolved,0
S326,2024-06-24,Critical,Documentation,Human Error,1,Product D,Testing,Warning,595,26,Resolved,1
S326,2024-04-06,Moderate,Safety,Human Error,0,Product A,Shipping,Formal,229,16,Pending,0
S326,2023-02-02,Critical,Regulatory,Human Error,0,Product B,Shipping,Warning,320,14,Unresolved,1
S326,2023-09-19,Critical,Regulatory,Process Failure,0,Product D,Manufacturing,Formal,458,11,Pending,1
S326,2024-05-29,Minor,Safety,Human Error,1,Product A,Testing,Formal,720,16,Resolved,0
S326,2024-09-15,Moderate,Safety,Process Failure,0,Product B,Packaging,Warning,797,28,Pending,0
S326,2023-04-24,Moderate,Quality,Equipment Malfunction,0,Product C,Manufacturing,Warning,723,25,Unresolved,1
S326,2023-06-07,Moderate,Safety,Human Error,0,Product A,Packaging,Urgent,298,2,Pending,1
S326,2024-11-15,Critical,Documentation,Process Failure,0,Product C,Packaging,Urgent,871,15,Resolved,0
S326,2023-07-21,Moderate,Regulatory,Human Error,1,Product D,Testing,Warning,997,26,Pending,1
S326,2023-12-25,Critical,Documentation,Process Failure,0,Product A,Testing,Urgent,235,11,Unresolved,0
S326,2023-12-27,Moderate,Quality,Equipment Malfunction,1,Product D,Manufacturing,Warning,183,14,Unresolved,1
S326,2023-06-07,Critical,Quality,Human Error,1,Product B,Packaging,Formal,418,25,Unresolved,0
S326,2024-04-15,Critical,Quality,Equipment Malfunction,0,Product D,Shipping,Warning,424,1,Resolved,0
S326,2024-11-27,Critical,Quality,Equipment Malfunction,1,Product A,Testing,Warning,148,26,Resolved,0
S326,2023-01-14,Minor,Safety,Equipment Malfunction,1,Product D,Packaging,Urgent,419,18,Unresolved,0
S326,2024-03-17,Moderate,Documentation,Process Failure,0,Product C,Shipping,Warning,582,13,Unresolved,0
S327,2023-10-09,Critical,Regulatory,Process Failure,1,Product D,Testing,Formal,622,7,Pending,0
S327,2024-03-20,Moderate,Quality,Process Failure,0,Product B,Packaging,Formal,167,14,Resolved,1
S327,2024-07-30,Minor,Safety,Human Error,1,Product D,Packaging,Urgent,739,23,Resolved,0
S327,2023-04-12,Minor,Safety,Human Error,0,Product A,Packaging,Warning,527,10,Unresolved,1
S327,2023-08-11,Moderate,Regulatory,Human Error,0,Product D,Testing,Formal,776,20,Pending,1
S327,2023-10-11,Moderate,Safety,Human Error,1,Product B,Shipping,Formal,479,12,Resolved,0
S327,2024-12-24,Critical,Documentation,Human Error,1,Product D,Shipping,Warning,252,13,Resolved,0
S327,2023-07-07,Moderate,Quality,Human Error,1,Product C,Shipping,Warning,167,8,Resolved,1
S327,2024-09-19,Moderate,Quality,Equipment Malfunction,0,Product B,Testing,Urgent,777,19,Resolved,1
S327,2023-04-29,Minor,Documentation,Human Error,0,Product A,Packaging,Urgent,598,15,Resolved,0
S327,2023-12-21,Minor,Regulatory,Equipment Malfunction,0,Product C,Manufacturing,Warning,599,29,Resolved,1
S327,2023-12-30,Critical,Quality,Human Error,0,Product A,Testing,Formal,524,25,Pending,1
S327,2024-04-11,Critical,Regulatory,Process Failure,1,Product B,Shipping,Urgent,247,27,Unresolved,0
S327,2023-07-11,Critical,Regulatory,Process Failure,1,Product A,Shipping,Urgent,172,29,Pending,0
S327,2024-10-04,Critical,Regulatory,Equipment Malfunction,1,Product B,Shipping,Formal,832,27,Pending,1
S327,2024-01-08,Moderate,Regulatory,Process Failure,0,Product C,Shipping,Formal,628,15,Unresolved,0
S327,2024-05-17,Moderate,Documentation,Equipment Malfunction,0,Product C,Shipping,Formal,154,16,Unresolved,1
S327,2023-06-17,Critical,Documentation,Process Failure,0,Product D,Testing,Urgent,539,7,Pending,1
S327,2023-11-25,Moderate,Safety,Equipment Malfunction,1,Product C,Manufacturing,Urgent,428,23,Pending,1
S327,2024-10-29,Critical,Regulatory,Process Failure,0,Product A,Packaging,Formal,592,12,Pending,1
S327,2023-10-25,Critical,Safety,Equipment Malfunction,0,Product C,Testing,Urgent,397,27,Pending,1
S327,2023-01-21,Critical,Quality,Equipment Malfunction,1,Product D,Testing,Warning,999,13,Unresolved,1
S327,2024-07-02,Critical,Regulatory,Human Error,1,Product D,Manufacturing,Warning,856,21,Resolved,1
S327,2023-08-28,Critical,Regulatory,Human Error,0,Product A,Testing,Formal,404,29,Resolved,0
S327,2024-03-20,Critical,Documentation,Process Failure,1,Product B,Shipping,Formal,809,22,Resolved,1
S327,2024-05-16,Critical,Quality,Equipment Malfunction,0,Product D,Manufacturing,Urgent,669,7,Unresolved,0
S327,2024-04-16,Critical,Quality,Human Error,1,Product A,Shipping,Formal,653,26,Unresolved,0
S327,2023-12-15,Critical,Documentation,Human Error,1,Product B,Packaging,Warning,717,3,Pending,0
S327,2023-12-03,Critical,Quality,Equipment Malfunction,1,Product B,Testing,Urgent,480,20,Pending,0
S327,2023-01-26,Critical,Safety,Process Failure,0,Product B,Testing,Formal,314,15,Unresolved,1
S327,2024-03-04,Critical,Quality,Human Error,1,Product C,Packaging,Urgent,910,23,Resolved,0
S327,2024-02-19,Moderate,Safety,Process Failure,0,Product D,Packaging,Formal,984,12,Unresolved,1
S328,2023-03-22,Critical,Regulatory,Human Error,0,Product D,Manufacturing,Urgent,719,21,Pending,0
S328,2024-09-25,Moderate,Safety,Human Error,1,Product B,Manufacturing,Warning,128,3,Pending,0
S328,2024-10-20,Moderate,Quality,Equipment Malfunction,1,Product D,Packaging,Urgent,922,18,Pending,0
S328,2023-10-31,Minor,Regulatory,Equipment Malfunction,1,Product B,Packaging,Warning,742,27,Pending,1
S328,2024-10-09,Critical,Documentation,Human Error,0,Product C,Packaging,Formal,367,28,Resolved,0
S328,2024-03-17,Moderate,Regulatory,Equipment Malfunction,0,Product D,Testing,Warning,333,22,Pending,0
S328,2024-10-25,Critical,Safety,Human Error,0,Product A,Testing,Urgent,328,2,Pending,0
S328,2023-01-09,Critical,Safety,Human Error,0,Product D,Manufacturing,Formal,740,3,Pending,1
S328,2023-09-22,Critical,Regulatory,Process Failure,0,Product C,Testing,Warning,480,12,Pending,1
S328,2023-04-03,Minor,Quality,Equipment Malfunction,0,Product D,Testing,Urgent,923,27,Pending,0
S328,2024-12-20,Minor,Documentation,Human Error,1,Product D,Shipping,Urgent,833,16,Unresolved,1
S328,2023-09-11,Critical,Regulatory,Human Error,0,Product D,Packaging,Urgent,835,12,Pending,1
S328,2024-11-09,Moderate,Documentation,Equipment Malfunction,1,Product A,Packaging,Warning,956,4,Resolved,1
S328,2023-03-29,Critical,Regulatory,Human Error,0,Product D,Manufacturing,Warning,855,23,Resolved,0
